model,CALV-ABC,CALV-ABCD,CALV-D,Dex-adroit-door,Dex-adroit-hammer,Dex-adroit-pen,Dex-dexart-bucket,Dex-dexart-faucet,Dex-dexart-laptop,Dex-dexart-toilet,LIBERO-Goal,LIBERO-Long,LIBERO-Object,LIBERO-Spatial,LPlus-Backg,LPlus-Camer,LPlus-Langu,LPlus-Layou,LPlus-Light,LPlus-Noise,LPlus-Robot,MW-Easy,MW-Hard,MW-Medium,MW-Very-Hard,RTwin-Easy,RTwin-Hard,RoboCasa,RoboChall
3d-cavla,,,,,,,,,,,0.9820,0.9610,0.9980,0.9820,,,,,,,,,,,,,,,
4d-vla,,,,,,,,,,,0.9090,0.7910,0.9520,0.8890,,,,,,,,,,,,,,,
a1,,,,,,,,,,,0.9760,0.9140,0.9980,0.9740,,,,,,,,,,,,,,,0.2900
aac,,,,,,,,,,,0.9860,0.9420,0.9280,0.9440,,,,,,,,,,,,,,,
abot-m0,,,,,,,,,,,0.9900,0.9660,0.9980,0.9880,0.9160,0.6040,0.8640,0.8260,0.9620,0.8640,0.6790,,,,,0.8606,0.8508,0.5830,
acot-vla,,,,,,,,,,,0.9880,0.9600,0.9960,0.9940,0.9650,0.7260,0.8750,0.8810,0.9770,0.8780,0.8260,,,,,,,,
ata,,,,,,,,,,,0.9880,0.6320,0.9080,0.9860,,,,,,,,,,,,,,,
atomicvla,0.8540,,,,,,,,,,0.9720,0.9620,0.9880,0.9880,,,,,,,,,,,,,,,
ava-vla,0.9300,,,,,,,,,,0.9740,0.9760,0.9940,0.9740,0.9410,0.6940,0.8150,0.7830,0.9750,0.7910,0.3490,,,,,,,,
being-h0.5,,,,,,,,,,,0.9940,0.9740,0.9960,0.9920,,,,,,,,,,,,,,,
bitvla,,,,,,,,,,,0.9440,0.8760,0.9960,0.9740,,,,,,,,,,,,,,,
bridgepolicy,,,,0.8400,1.0000,0.5800,0.3200,0.4400,0.8800,0.7600,,,,,,,,,,,,,,,,,,,
cf-vla,,,0.7340,,,,,,,,0.9500,0.9080,0.9900,0.9840,,,,,,,,,,,,,,,
coa-vla,,,,,,,,,,,0.8580,0.5500,0.9310,0.8530,,,,,,,,,,,,,,,
coral,,,,,,,,,,,0.9900,0.9880,0.9980,0.9960,,,,,,,,,,,,,,,
corridorvla,,,,,,,,,,,0.9080,0.8520,0.9580,0.9200,,,,,,,,,,,,,,,
cosmos policy,,,,,,,,,,,0.9820,0.9760,1.0000,0.9810,,,,,,,,,,,,,,,
cot-vla,,,,,,,,,,,0.8760,0.6900,0.9160,0.8750,,,,,,,,,,,,,,,
cronusvla,,,,,,,,,,,0.9690,0.9400,0.9960,0.9730,,,,,,,,,,,,,,,
deepthinkvla,,,,,,,,,,,0.9640,0.9620,0.9660,0.9900,0.7530,0.8850,0.8450,0.7990,0.9000,0.9440,0.4050,,,,,,,,
dejavu,,,,,,,,,,,0.9760,0.9460,0.9820,0.9820,,,,,,,,,,,,,,,
depthvla,,,,,,,,,,,0.9580,0.8920,0.9800,0.9640,,,,,,,,,,,,,,,
dexhanddiff,,,,0.9000,0.9000,0.9330,,,,,,,,,,,,,,,,,,,,,,,
dexvla,,,,,,,,,,,0.9560,,0.9910,0.9720,,,,,,,,,,,,,,,
dfm-vla,,0.8880,,,,,,,,,0.9440,0.9260,0.9880,0.9680,,,,,,,,,,,,,,,
diffusion policy,0.1120,,,0.6200,1.0000,0.2500,0.4600,0.2300,0.6900,0.5800,0.6830,0.5050,0.9250,0.7830,,,,,,,,0.2310,0.0190,0.1070,0.0610,0.2804,0.0064,,
discrete diffusion vla,,,,,,,,,,,0.9740,0.9200,0.9860,0.9720,,,,,,,,,,,,,,,
distill-d,,0.6320,0.5940,,,,,,,,0.6380,0.4730,0.7200,0.4680,,,,,,,,,,,,,,,
dit4dit,,,,,,,,,,,0.9860,0.9760,0.9960,0.9840,,,,,,,,,,,,,,0.5080,
dita,0.7220,,,,,,,,,,0.8540,0.6380,0.9630,0.8420,,,,,,,,,,,,,,,
dm0,,,,,,,,,,,0.9660,0.8260,0.9880,0.9820,,,,,,,,,,,,,,,0.6200
dp3,,,,0.6200,1.0000,0.4300,0.4600,0.6300,0.8300,0.8200,,,,,,,,,,,,,,,,,,,
dp4,,,,,,,0.9000,0.8400,0.9200,0.6400,,,,,,,,,,,,,,,,,,,
dreamvla,0.8880,,,,,,,,,,0.8950,0.8950,0.9400,0.9750,,,,,,,,,,,,,,,
dual-cot vla,,,,,,,,,,,0.9780,0.9820,0.9980,0.9940,,,,,,,,,,,,,,0.5510,
dvla,,,,,,,,,,,0.9820,0.9220,0.9790,0.9740,,,,,,,,,,,,,,,
eo-1,,,,,,,,,,,0.9920,0.9480,0.9980,0.9970,,,,,,,,,,,,,,,
eva-vla,,,,,,,,,,,0.8260,0.9780,0.7880,0.7120,,,,,,,,,,,,,,,
evo-1,,,,,,,,,,,0.9630,0.9230,0.9770,0.9270,,,,,,,,0.8920,0.7720,0.7680,0.7920,,,,
fast-thinkact,,,,,,,,,,,0.9020,0.7940,0.9720,0.9200,,,,,,,,,,,,,,,
fast-wam,,,,,,,,,,,0.9700,0.9520,1.0000,0.9820,,,,,,,,,,,,0.9188,0.9178,,
flow matching,,,,0.4000,0.5570,0.2120,0.2400,0.3130,0.8170,0.7630,,,,,,,,,,,,,,,,,,,
